"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4252","Ошибки. Неверный пароль","tests.Seller.auth","Fri Feb 28 10:21:30 MSK 2025","passed","Fri Feb 28 10:21:34 MSK 2025","","test_seller_auth","",""
"","74566","Успешный вход? когда логин в другом регистре","tests.Seller.auth","Fri Feb 28 10:21:48 MSK 2025","passed","Fri Feb 28 10:23:03 MSK 2025","","test_seller_auth","",""
"","4091","Ошибки. Только логин пустой","tests.Seller.auth","Fri Feb 28 10:23:08 MSK 2025","passed","Fri Feb 28 10:23:12 MSK 2025","","test_seller_auth","",""
"","4550","Ошибки. Логин и пароль пустые","tests.Seller.auth","Fri Feb 28 10:08:38 MSK 2025","passed","Fri Feb 28 10:08:42 MSK 2025","","test_seller_auth","",""
"","4529","Ошибки. Зарегистрирован как клиент.","tests.Seller.auth","Fri Feb 28 10:21:34 MSK 2025","passed","Fri Feb 28 10:21:39 MSK 2025","","test_seller_auth","",""
"","8731","Ошибки. Зарегистрирован как референт.","tests.Seller.auth","Fri Feb 28 10:08:58 MSK 2025","failed","Fri Feb 28 10:09:07 MSK 2025","","test_seller_auth","",""
"","4587","Ошибки. Неверный пароль","tests.Seller.auth","Fri Feb 28 10:08:48 MSK 2025","passed","Fri Feb 28 10:08:52 MSK 2025","","test_seller_auth","",""
"","61886","Ошибки. Логин и пароль пустые","tests.Seller.auth","Fri Feb 28 10:11:43 MSK 2025","passed","Fri Feb 28 10:12:45 MSK 2025","","test_seller_auth","",""
"","62479","Успешный вход? когда логин в другом регистре","tests.Seller.auth","Fri Feb 28 10:17:00 MSK 2025","passed","Fri Feb 28 10:18:02 MSK 2025","","test_seller_auth","",""
"","4254","test_auth1[webkit]","tests.Client.auth","Fri Feb 28 10:20:08 MSK 2025","passed","Fri Feb 28 10:20:12 MSK 2025","","test_client_auth","",""
"","3205","test_auth1[firefox]","tests.Client.auth","Fri Feb 28 10:10:37 MSK 2025","passed","Fri Feb 28 10:10:40 MSK 2025","","test_client_auth","",""
"","3701","test_auth1[chromium]","tests.Client.auth","Fri Feb 28 10:07:58 MSK 2025","passed","Fri Feb 28 10:08:02 MSK 2025","","test_client_auth","",""
"","70585","Успешный вход? когда логин в другом регистре","tests.Seller.auth","Fri Feb 28 10:09:07 MSK 2025","broken","Fri Feb 28 10:10:17 MSK 2025","","test_seller_auth","",""
"","4317","Ошибки. Такого логина нет","tests.Seller.auth","Fri Feb 28 10:21:25 MSK 2025","passed","Fri Feb 28 10:21:30 MSK 2025","","test_seller_auth","",""
"","62104","Ошибки. Зарегистрирован как клиент.","tests.Seller.auth","Fri Feb 28 10:14:50 MSK 2025","passed","Fri Feb 28 10:15:52 MSK 2025","","test_seller_auth","",""
"","4398","Ошибки. Логин и пароль пустые","tests.Seller.auth","Fri Feb 28 10:21:21 MSK 2025","passed","Fri Feb 28 10:21:25 MSK 2025","","test_seller_auth","",""
"","62140","Ошибки. Такого логина нет","tests.Seller.auth","Fri Feb 28 10:12:45 MSK 2025","passed","Fri Feb 28 10:13:47 MSK 2025","","test_seller_auth","",""
"","7086","Ошибки. Только пароль пустой","tests.Seller.auth","Fri Feb 28 10:10:22 MSK 2025","passed","Fri Feb 28 10:10:29 MSK 2025","","test_seller_auth","",""
"","62186","Ошибки. Только пароль пустой","tests.Seller.auth","Fri Feb 28 10:18:02 MSK 2025","passed","Fri Feb 28 10:19:05 MSK 2025","","test_seller_auth","",""
"","68037","Успешный вход","tests.Seller.auth","Fri Feb 28 10:20:12 MSK 2025","passed","Fri Feb 28 10:21:20 MSK 2025","","test_seller_auth","",""
"","4078","Ошибки. Такого логина нет","tests.Seller.auth","Fri Feb 28 10:08:43 MSK 2025","passed","Fri Feb 28 10:08:47 MSK 2025","","test_seller_auth","",""
"","34826","Успешный вход","tests.Seller.auth","Fri Feb 28 10:08:02 MSK 2025","passed","Fri Feb 28 10:08:37 MSK 2025","","test_seller_auth","",""
"","62206","Ошибки. Неверный пароль","tests.Seller.auth","Fri Feb 28 10:13:47 MSK 2025","passed","Fri Feb 28 10:14:50 MSK 2025","","test_seller_auth","",""
"","4440","Ошибки. Только пароль пустой","tests.Seller.auth","Fri Feb 28 10:23:03 MSK 2025","passed","Fri Feb 28 10:23:08 MSK 2025","","test_seller_auth","",""
"","4490","Ошибки. Только логин пустой","tests.Seller.auth","Fri Feb 28 10:10:30 MSK 2025","passed","Fri Feb 28 10:10:34 MSK 2025","","test_seller_auth","",""
"","62360","Успешный вход","tests.Seller.auth","Fri Feb 28 10:10:40 MSK 2025","passed","Fri Feb 28 10:11:43 MSK 2025","","test_seller_auth","",""
"","67195","Ошибки. Зарегистрирован как референт.","tests.Seller.auth","Fri Feb 28 10:15:52 MSK 2025","failed","Fri Feb 28 10:16:59 MSK 2025","","test_seller_auth","",""
"","9022","Ошибки. Зарегистрирован как референт.","tests.Seller.auth","Fri Feb 28 10:21:39 MSK 2025","failed","Fri Feb 28 10:21:48 MSK 2025","","test_seller_auth","",""
"","62097","Ошибки. Только логин пустой","tests.Seller.auth","Fri Feb 28 10:19:05 MSK 2025","passed","Fri Feb 28 10:20:07 MSK 2025","","test_seller_auth","",""
"","4604","Ошибки. Зарегистрирован как клиент.","tests.Seller.auth","Fri Feb 28 10:08:53 MSK 2025","passed","Fri Feb 28 10:08:57 MSK 2025","","test_seller_auth","",""
